MOB,ever_sum,folio_den,pct_ever_mob
1,7,4570,0.2
2,11,4249,0.3
3,12,3960,0.3
4,25,3701,0.7
5,31,3435,0.9
6,44,3236,1.4
7,53,3059,1.7
8,67,2930,2.3
9,72,2812,2.6
10,78,2704,2.9
11,87,2571,3.4
12,96,2454,3.9
13,104,2336,4.5
14,113,2211,5.1
15,123,2127,5.8
16,129,2014,6.4
17,133,1935,6.9
18,134,1846,7.3
19,136,1755,7.7
20,142,1687,8.4
21,141,1623,8.7
22,136,1536,8.9
23,140,1450,9.7
24,136,1365,10.0
25,126,1268,9.9
26,119,1139,10.4
27,108,1016,10.6
28,100,899,11.1
29,87,768,11.3
30,69,646,10.7
31,56,530,10.6
32,46,445,10.3
33,28,335,8.4
34,23,253,9.1
35,15,185,8.1
36,12,139,8.6
37,9,105,8.6
38,6,64,9.4
39,2,28,7.1
40,0,8,0.0
41,0,1,0.0
